,url,nb_reviews,nb_stars,amazon_price,img_url
0,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,920,4.4,$12.93,"{""https://images-na.ssl-images-amazon.com/images/I/51Bex99VLpL._SX327_BO1,204,203,200_.jpg"":[329,499],""https://images-na.ssl-images-amazon.com/images/I/51Bex99VLpL._SY344_BO1,204,203,200_.jpg"":[228,346]}"
1,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,702,4.0,$9.91,"{""https://images-na.ssl-images-amazon.com/images/I/316LNCg4YTL._SY344_BO1,204,203,200_.jpg"":[232,346],""https://images-na.ssl-images-amazon.com/images/I/316LNCg4YTL._SX332_BO1,204,203,200_.jpg"":[334,499]}"
2,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,521,4.4,$14.99,"{""https://images-na.ssl-images-amazon.com/images/I/51ZNWPkOsbL._SY344_BO1,204,203,200_.jpg"":[233,346],""https://images-na.ssl-images-amazon.com/images/I/51ZNWPkOsbL._SX334_BO1,204,203,200_.jpg"":[336,499]}"
3,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20,521,4.4,$13.38,"{""https://images-na.ssl-images-amazon.com/images/I/51hb6%2BasUeL._SX321_BO1,204,203,200_.jpg"":[323,499],""https://images-na.ssl-images-amazon.com/images/I/51hb6%2BasUeL._SY344_BO1,204,203,200_.jpg"":[224,346]}"
4,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20,521,4.1,$10.94,"{""https://images-na.ssl-images-amazon.com/images/I/51dpPlGqr%2BL._SX328_BO1,204,203,200_.jpg"":[330,499],""https://images-na.ssl-images-amazon.com/images/I/51dpPlGqr%2BL._SY344_BO1,204,203,200_.jpg"":[229,346]}"
5,http://www.amazon.com/Queen-Babble-Gets-Hitched-Cabot/dp/006085202X?tag=NYTBS-20,78,3.5,$8.88,"{""https://images-na.ssl-images-amazon.com/images/I/51iaOBn-FGL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51iaOBn-FGL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
6,http://www.amazon.com/Silent-Thunder-Iris-Johansen/dp/0312368003?tag=NYTBS-20,80,4.1,,"{""https://images-na.ssl-images-amazon.com/images/I/515bRfg0jiL._SX308_BO1,204,203,200_.jpg"":[310,499],""https://images-na.ssl-images-amazon.com/images/I/515bRfg0jiL._SY344_BO1,204,203,200_.jpg"":[215,346]}"
7,http://www.amazon.com/Say-Goodbye-FBI-Profiler-Novel/dp/0553588095?tag=NYTBS-20,368,4.2,$7.99,"{""https://images-na.ssl-images-amazon.com/images/I/51hW6mJG15L._SX302_BO1,204,203,200_.jpg"":[304,499],""https://images-na.ssl-images-amazon.com/images/I/51hW6mJG15L._SY344_BO1,204,203,200_.jpg"":[211,346]}"
8,http://www.amazon.com/Secret-Servant-Gabriel-Allon-Novels/dp/0451224507?tag=NYTBS-20,828,4.7,$7.99,"{""https://images-na.ssl-images-amazon.com/images/I/51QcSQg6yXL._SY344_BO1,204,203,200_.jpg"":[197,346],""https://images-na.ssl-images-amazon.com/images/I/51QcSQg6yXL._SX281_BO1,204,203,200_.jpg"":[283,498]}"
9,http://www.amazon.com/The-Lace-Reader-A-Novel/dp/0061624772?tag=NYTBS-20,633,4.0,$12.04,"{""https://images-na.ssl-images-amazon.com/images/I/51HWZ3jTnDL._SX331_BO1,204,203,200_.jpg"":[333,499],""https://images-na.ssl-images-amazon.com/images/I/51HWZ3jTnDL._SY344_BO1,204,203,200_.jpg"":[231,346]}"
10,http://www.amazon.com/Paul-Dune-Brian-Herbert/dp/0765312948?tag=NYTBS-20,210,3.7,$28.90,"{""https://images-na.ssl-images-amazon.com/images/I/51cvhEWFHRL._SY344_BO1,204,203,200_.jpg"":[228,346],""https://images-na.ssl-images-amazon.com/images/I/51cvhEWFHRL._SX327_BO1,204,203,200_.jpg"":[329,499]}"
11,http://www.amazon.com/Wallflower-Christmas-Wallflowers-Book/dp/0312360738?tag=NYTBS-20,246,4.4,$6.29,"{""https://images-na.ssl-images-amazon.com/images/I/51CUMGlOAUL._SY344_BO1,204,203,200_.jpg"":[202,346],""https://images-na.ssl-images-amazon.com/images/I/51CUMGlOAUL._SX289_BO1,204,203,200_.jpg"":[291,499]}"
12,http://www.amazon.com/Midnight-A-Gangster-Love-Story/dp/1416545360?tag=NYTBS-20,750,4.2,$16.23,"{""https://images-na.ssl-images-amazon.com/images/I/51jBOVsU51L._SY344_BO1,204,203,200_.jpg"":[224,346],""https://images-na.ssl-images-amazon.com/images/I/51jBOVsU51L._SX321_BO1,204,203,200_.jpg"":[323,499]}"
13,http://www.amazon.com/Santa-Clawed-Mrs-Murphy-Mystery-ebook/dp/B001ANYES0?tag=NYTBS-20,121,4.2,,
14,http://www.amazon.com/The-Bodies-Left-Behind-Novel/dp/B002BWQ4MI?tag=NYTBS-20,188,3.9,$7.50,"{""https://images-na.ssl-images-amazon.com/images/I/51DbMS4kooL._SY344_BO1,204,203,200_.jpg"":[225,346],""https://images-na.ssl-images-amazon.com/images/I/51DbMS4kooL._SX322_BO1,204,203,200_.jpg"":[324,499]}"
15,http://www.amazon.com/Cross-Country-Alex-James-Patterson/dp/0316018724?tag=NYTBS-20,899,4.0,$11.92,"{""https://images-na.ssl-images-amazon.com/images/I/51TOaamaYPL._SX321_BO1,204,203,200_.jpg"":[323,499],""https://images-na.ssl-images-amazon.com/images/I/51TOaamaYPL._SY344_BO1,204,203,200_.jpg"":[224,346]}"
16,http://www.amazon.com/Plum-Spooky-Stephanie-Between-Numbers/dp/142720599X?tag=NYTBS-20,1630,4.4,$14.22,"{""https://images-na.ssl-images-amazon.com/images/I/51K2oAevijL._SX258_BO1,204,203,200_.jpg"":[260,201],""https://images-na.ssl-images-amazon.com/images/I/51K2oAevijL._SY384_BO1,204,203,200_.jpg"":[499,386]}"
17,http://www.amazon.com/The-Piano-Teacher-A-Novel/dp/0143116533?tag=NYTBS-20,259,3.7,$7.79,"{""https://images-na.ssl-images-amazon.com/images/I/51TFcah4VML._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51TFcah4VML._SX330_BO1,204,203,200_.jpg"":[332,499]}"
18,http://www.amazon.com/What-Did-Love-Wynette-Texas/dp/0061351504?tag=NYTBS-20,193,3.8,$6.99,"{""https://images-na.ssl-images-amazon.com/images/I/51csJwQ5I%2BL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51csJwQ5I%2BL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
19,http://www.amazon.com/Basketball-Jones-E-Lynn-Harris/dp/0767926277?tag=NYTBS-20,158,4.4,$12.01,"{""https://images-na.ssl-images-amazon.com/images/I/51ShCCOASBL._SY344_BO1,204,203,200_.jpg"":[228,346],""https://images-na.ssl-images-amazon.com/images/I/51ShCCOASBL._SX327_BO1,204,203,200_.jpg"":[329,499]}"
20,http://www.amazon.com/The-Second-Opinion-Michael-Palmer/dp/0312343558?tag=NYTBS-20,111,4.3,$3.95,"{""https://images-na.ssl-images-amazon.com/images/I/51glMsnEOjL._SY344_BO1,204,203,200_.jpg"":[228,346],""https://images-na.ssl-images-amazon.com/images/I/51glMsnEOjL._SX327_BO1,204,203,200_.jpg"":[329,499]}"
21,http://www.amazon.com/Cream-Murder-Hannah-Swensen-Mysteries/dp/0758210221?tag=NYTBS-20,322,4.2,$15.49,"{""https://images-na.ssl-images-amazon.com/images/I/41NT8lLH2gL._SX326_BO1,204,203,200_.jpg"":[328,499],""https://images-na.ssl-images-amazon.com/images/I/41NT8lLH2gL._SY344_BO1,204,203,200_.jpg"":[228,346]}"
22,http://www.amazon.com/Fault-Line-Novel-Barry-Eisler/dp/0345505085?tag=NYTBS-20,331,3.9,$8.15,"{""https://images-na.ssl-images-amazon.com/images/I/51bnIWM5KwL._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51bnIWM5KwL._SX329_BO1,204,203,200_.jpg"":[331,499]}"
23,http://www.amazon.com/A-Plague-Secrets-John-Lescroart/dp/0451228324?tag=NYTBS-20,142,4.3,$9.05,"{""https://images-na.ssl-images-amazon.com/images/I/51wrmT6kCQL._SX282_BO1,204,203,200_.jpg"":[284,498],""https://images-na.ssl-images-amazon.com/images/I/51wrmT6kCQL._SY344_BO1,204,203,200_.jpg"":[197,346]}"
24,http://www.amazon.com/Return-Sullivans-Island-Lowcountry-Tales/dp/0061438456?tag=NYTBS-20,254,3.8,$16.95,"{""https://images-na.ssl-images-amazon.com/images/I/51nWSFIE8PL._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51nWSFIE8PL._SX329_BO1,204,203,200_.jpg"":[331,499]}"
25,http://www.amazon.com/Rules-Vengeance-Christopher-Reich-ebook/dp/B001NLKY2O?tag=NYTBS-20,126,4.2,,
26,http://www.amazon.com/The-White-Queen-Cousins-War/dp/1476735484?tag=NYTBS-20,1494,4.3,$9.85,"{""https://images-na.ssl-images-amazon.com/images/I/511X-bq%2B7iL._SY344_BO1,204,203,200_.jpg"":[228,346],""https://images-na.ssl-images-amazon.com/images/I/511X-bq%2B7iL._SX326_BO1,204,203,200_.jpg"":[328,499]}"
27,http://www.amazon.com/Dreamfever-Fever-Series-Book-4-ebook/dp/B002LDM8WW?tag=NYTBS-20,681,4.7,,
28,http://www.amazon.com/Dark-Slayer-Carpathian-Christine-Feehan/dp/0425229734?tag=NYTBS-20,400,4.7,$12.98,"{""https://images-na.ssl-images-amazon.com/images/I/51j8VGXeqFL._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51j8VGXeqFL._SX329_BO1,204,203,200_.jpg"":[331,499]}"
29,http://www.amazon.com/The-Lost-Symbol-Featuring-Langdon-ebook/dp/B002KQ6BT6?tag=NYTBS-20,5650,4.0,,
30,http://www.amazon.com/A-Change-Altitude-Novel/dp/0316020710?tag=NYTBS-20,238,3.4,$8.97,"{""https://images-na.ssl-images-amazon.com/images/I/418cZW2wIWL._SX328_BO1,204,203,200_.jpg"":[330,499],""https://images-na.ssl-images-amazon.com/images/I/418cZW2wIWL._SY344_BO1,204,203,200_.jpg"":[229,346]}"
31,http://www.amazon.com/The-Ghost-King-Transitions-Book/dp/078695499X?tag=NYTBS-20,251,4.3,$7.19,"{""https://images-na.ssl-images-amazon.com/images/I/51BwNtJc4SL._SX302_BO1,204,203,200_.jpg"":[304,499],""https://images-na.ssl-images-amazon.com/images/I/51BwNtJc4SL._SY344_BO1,204,203,200_.jpg"":[211,346]}"
32,http://www.amazon.com/The-Christmas-List-A-Novel/dp/1439150001?tag=NYTBS-20,197,4.4,$13.29,"{""https://images-na.ssl-images-amazon.com/images/I/41uCUCVFbQL._SX363_BO1,204,203,200_.jpg"":[365,499],""https://images-na.ssl-images-amazon.com/images/I/41uCUCVFbQL._SY344_BO1,204,203,200_.jpg"":[253,346]}"
33,http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20,1306,4.4,,
34,http://www.amazon.com/Deep-Kiss-Winter-Kresley-Cole/dp/1451600054?tag=NYTBS-20,268,4.4,$9.99,"{""https://images-na.ssl-images-amazon.com/images/I/51e3jTqy4ML._SY344_BO1,204,203,200_.jpg"":[212,346],""https://images-na.ssl-images-amazon.com/images/I/51e3jTqy4ML._SX303_BO1,204,203,200_.jpg"":[305,499]}"
35,http://www.amazon.com/Southern-Lights-Random-House-Large/dp/0739328662?tag=NYTBS-20,414,4.5,$5.97,"{""https://images-na.ssl-images-amazon.com/images/I/5196lSzYopL._SX324_BO1,204,203,200_.jpg"":[326,499],""https://images-na.ssl-images-amazon.com/images/I/5196lSzYopL._SY344_BO1,204,203,200_.jpg"":[226,346]}"
36,http://www.amazon.com/No-Less-Than-Victory-Novel/dp/0345497937?tag=NYTBS-20,309,4.6,$14.88,"{""https://images-na.ssl-images-amazon.com/images/I/51aDQMgv0-L._SY344_BO1,204,203,200_.jpg"":[225,346],""https://images-na.ssl-images-amazon.com/images/I/51aDQMgv0-L._SX322_BO1,204,203,200_.jpg"":[324,499]}"
37,http://www.amazon.com/Knit-Season-Friday-Night-Knitting/dp/0425236765?tag=NYTBS-20,149,4.1,$13.28,"{""https://images-na.ssl-images-amazon.com/images/I/51oCJgRX89L._SY344_BO1,204,203,200_.jpg"":[213,346],""https://images-na.ssl-images-amazon.com/images/I/51oCJgRX89L._SX305_BO1,204,203,200_.jpg"":[307,499]}"
38,http://www.amazon.com/First-Lords-Fury-Codex-Alera/dp/0441019625?tag=NYTBS-20,449,4.7,$8.99,"{""https://images-na.ssl-images-amazon.com/images/I/51KT5tKS-0L._SX281_BO1,204,203,200_.jpg"":[283,498],""https://images-na.ssl-images-amazon.com/images/I/51KT5tKS-0L._SY344_BO1,204,203,200_.jpg"":[197,346]}"
39,http://www.amazon.com/The-Paris-Vendetta-A-Novel/dp/0345505476?tag=NYTBS-20,285,4.2,$6.69,"{""https://images-na.ssl-images-amazon.com/images/I/51tAOPNeMRL._SY344_BO1,204,203,200_.jpg"":[228,346],""https://images-na.ssl-images-amazon.com/images/I/51tAOPNeMRL._SX327_BO1,204,203,200_.jpg"":[329,499]}"
40,http://www.amazon.com/Altar-Eden-James-Rollins/dp/0061231428?tag=NYTBS-20,384,4.3,$14.77,"{""https://images-na.ssl-images-amazon.com/images/I/51rOisc-4qL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51rOisc-4qL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
41,http://www.amazon.com/Days-Gold-A-Novel-Edilean/dp/1439107947?tag=NYTBS-20,144,4.2,$12.83,"{""https://images-na.ssl-images-amazon.com/images/I/51b7pYQ27rL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51b7pYQ27rL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
42,http://www.amazon.com/Kisser-Stone-Barrington-No-17/dp/0399156119?tag=NYTBS-20,249,3.6,$10.95,"{""https://images-na.ssl-images-amazon.com/images/I/41YgYyNN%2B7L._SX276_BO1,204,203,200_.jpg"":[278,419],""https://images-na.ssl-images-amazon.com/images/I/41YgYyNN%2B7L._SY344_BO1,204,203,200_.jpg"":[230,346]}"
43,http://www.amazon.com/Gator-A-Go-Go-Novel-Serge-Storms/dp/0061432717?tag=NYTBS-20,131,4.4,$26.20,"{""https://images-na.ssl-images-amazon.com/images/I/51rBP3joYUL._SX331_BO1,204,203,200_.jpg"":[333,499],""https://images-na.ssl-images-amazon.com/images/I/51rBP3joYUL._SY344_BO1,204,203,200_.jpg"":[231,346]}"
44,http://www.amazon.com/Flirt-Anita-Blake-Vampire-Hunter/dp/042523567X?tag=NYTBS-20,1197,4.0,$10.50,"{""https://images-na.ssl-images-amazon.com/images/I/51tVY4qqRnL._SY344_BO1,204,203,200_.jpg"":[230,346],""https://images-na.ssl-images-amazon.com/images/I/51tVY4qqRnL._SX329_BO1,204,203,200_.jpg"":[331,499]}"
45,http://www.amazon.com/Star-Wars-Fate-Backlash-Legends/dp/0345509099?tag=NYTBS-20,71,4.2,$7.99,"{""https://images-na.ssl-images-amazon.com/images/I/518xNMBCciL._SY344_BO1,204,203,200_.jpg"":[212,346],""https://images-na.ssl-images-amazon.com/images/I/518xNMBCciL._SX303_BO1,204,203,200_.jpg"":[305,499]}"
46,http://www.amazon.com/Deep-Shadow-Randy-Wayne-White/dp/0425240096?tag=NYTBS-20,200,4.1,$9.32,"{""https://images-na.ssl-images-amazon.com/images/I/5117rJeBoaL._SY344_BO1,204,203,200_.jpg"":[197,346],""https://images-na.ssl-images-amazon.com/images/I/5117rJeBoaL._SX281_BO1,204,203,200_.jpg"":[283,498]}"
47,http://www.amazon.com/Bite-Me-A-Love-Story/dp/0061779725?tag=NYTBS-20,234,4.3,$13.42,"{""https://images-na.ssl-images-amazon.com/images/I/513jH1hxz8L._SX331_BO1,204,203,200_.jpg"":[333,499],""https://images-na.ssl-images-amazon.com/images/I/513jH1hxz8L._SY344_BO1,204,203,200_.jpg"":[231,346]}"
48,http://www.amazon.com/The-Walk-Novel-Series/dp/1439187312?tag=NYTBS-20,1041,4.6,$15.95,"{""https://images-na.ssl-images-amazon.com/images/I/51AkKQuWSXL._SX308_BO1,204,203,200_.jpg"":[310,499],""https://images-na.ssl-images-amazon.com/images/I/51AkKQuWSXL._SY344_BO1,204,203,200_.jpg"":[215,346]}"
49,http://www.amazon.com/Miss-Julia-Renews-Her-Vows/dp/0670021555?tag=NYTBS-20,124,4.7,$16.67,"{""https://images-na.ssl-images-amazon.com/images/I/51a6WwTORgL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/51a6WwTORgL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
50,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,1361,3.9,$5.99,"{""https://images-na.ssl-images-amazon.com/images/I/51FTzDLMAfL._SY344_BO1,204,203,200_.jpg"":[215,346],""https://images-na.ssl-images-amazon.com/images/I/51FTzDLMAfL._SX308_BO1,204,203,200_.jpg"":[310,499]}"
51,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,693,4.1,$10.27,"{""https://images-na.ssl-images-amazon.com/images/I/31mbBcX-JmL._SY344_BO1,204,203,200_.jpg"":[232,346],""https://images-na.ssl-images-amazon.com/images/I/31mbBcX-JmL._SX332_BO1,204,203,200_.jpg"":[334,499]}"
52,http://www.amazon.com/Fever-Dream-Douglas-Preston/dp/B004X8W7JW?tag=NYTBS-20,568,4.4,$11.45,"{""https://images-na.ssl-images-amazon.com/images/I/513lUubPhaL._SX329_BO1,204,203,200_.jpg"":[331,499],""https://images-na.ssl-images-amazon.com/images/I/513lUubPhaL._SY344_BO1,204,203,200_.jpg"":[230,346]}"
53,http://www.amazon.com/The-Overton-Window-Glenn-Beck/dp/1451625286?tag=NYTBS-20,976,4.4,$8.99,"{""https://images-na.ssl-images-amazon.com/images/I/51u9j0AxSHL._SX274_BO1,204,203,200_.jpg"":[276,498],""https://images-na.ssl-images-amazon.com/images/I/51u9j0AxSHL._SY344_BO1,204,203,200_.jpg"":[192,346]}"
54,http://www.amazon.com/Broken-Will-Trent-Karin-Slaughter/dp/0440244463?tag=NYTBS-20,485,4.5,$7.99,"{""https://images-na.ssl-images-amazon.com/images/I/61aqeAdD1zL._SX303_BO1,204,203,200_.jpg"":[305,499],""https://images-na.ssl-images-amazon.com/images/I/61aqeAdD1zL._SY344_BO1,204,203,200_.jpg"":[212,346]}"
55,http://www.amazon.com/Private-1-Suspect-James-Patterson/dp/0446571784?tag=NYTBS-20,1830,4.3,$12.45,"{""https://images-na.ssl-images-amazon.com/images/I/51nF6Ou6HlL._SY344_BO1,204,203,200_.jpg"":[226,346],""https://images-na.ssl-images-amazon.com/images/I/51nF6Ou6HlL._SX323_BO1,204,203,200_.jpg"":[325,499]}"
