,title,author,publisher,description,Amazon_url,times_listed,first_date_listed,last_date_listed,weeks_on_list,worst_rank,best_rank,Amazon_reviews,Amazon_rating,NYT_price,Amazon_price,Amazon_price_as%_NYT_price
0,10TH ANNIVERSARY,James Patterson and Maxine Paetro,"Little, Brown",Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.,http://www.amazon.com/10th-Anniversary-Womens-Murder-Club/dp/1455511463?tag=NYTBS-20,10,2011-05-22,2011-07-24,8,9,16,1365.0,4.6,27.99,9.99,35.69
1,11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,http://www.amazon.com/11-22-63-A-Novel/dp/1451627297?tag=NYTBS-20,23,2011-11-27,2012-05-13,9,6,1,26427.0,4.5,35.0,10.99,31.4
2,11TH HOUR,James Patterson and Maxine Paetro,"Little, Brown","When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.",http://www.amazon.com/11th-Hour-Womens-Murder-Club/dp/0446571830?tag=NYTBS-20,10,2012-05-27,2012-07-29,8,6,1,1858.0,4.6,27.99,9.99,35.69
3,1225 CHRISTMAS TREE LANE,Debbie Macomber,Mira,Puppies that need good homes and an ex-husband loom large in the last installment of the Cedar Cove series.,http://www.amazon.com/1225-Christmas-Tree-Lane-Cedar/dp/0778312690?tag=NYTBS-20,7,2011-10-16,2011-11-27,4,8,10,741.0,,16.95,5.98,35.28
4,12TH OF NEVER,James Patterson and Maxine Paetro,"Little, Brown","One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel. ",http://www.amazon.com/12th-Never-Womens-Murder-Club/dp/1455515795?tag=NYTBS-20,7,2013-05-19,2013-06-30,6,8,1,3789.0,4.5,0.0,9.99,inf
5,1356,Bernard Cornwell,Harper/HarperCollins,"In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.",http://www.amazon.com/1356-A-Novel-Bernard-Cornwell/dp/0061969672?tag=NYTBS-20,2,2013-01-27,2013-02-03,1,20,11,,,28.99,24.17,83.37
6,14TH DEADLY SIN,James Patterson and Maxine Paetro,"Little, Brown",Detective Lindsay Boxer and her friends must risk their lives to save the city and one another when a rash of murders grips San Francisco.,http://www.amazon.com/14th-Deadly-Womens-Murder-Club/dp/031640702X?tag=NYTBS-20,8,2015-05-24,2015-07-12,7,8,1,4140.0,4.3,0.0,9.99,inf
7,15 SECONDS,Andrew Gross,Morrow,,http://www.amazon.com/15-Seconds-Andrew-Gross/dp/006165597X?tag=NYTBS-20,1,2012-07-29,2012-07-29,0,18,18,390.0,4.2,0.0,10.0,inf
8,15TH AFFAIR,James Patterson and Maxine Paetro,"Little, Brown","When a brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, she turns for help to the Women's Murder Club.",http://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,8,2016-05-22,2016-07-10,7,9,1,2913.0,4.5,0.0,9.99,inf
9,1Q84,Haruki Murakami,Knopf,"In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project.",http://www.amazon.com/1Q84-Haruki-Murakami-ebook/dp/B004LROUW2?tag=NYTBS-20,10,2011-11-13,2012-01-15,9,6,10,1892.0,4.0,30.5,12.99,42.59
