,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
0,5b4aa4ead3089013507db18b,ODD HOURS,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,Bantam,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",2008-06-08,2008-05-24,1,0,1,27.0,7.99,920.0,4.4,29.59
1,5b4aa4ead3089013507db18c,THE HOST,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Little, Brown","Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.",2008-06-08,2008-05-24,2,1,3,25.99,7.99,6109.0,4.5,30.74
2,5b4aa4ead3089013507db18d,LOVE THE ONE YOU'RE WITH,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,St. Martin's,A woman's happy marriage is shaken when she encounters an old boyfriend.,2008-06-08,2008-05-24,3,2,2,24.95,8.99,702.0,4.0,36.03
3,5b4aa4ead3089013507db18e,THE FRONT,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,Putnam,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",2008-06-08,2008-05-24,4,0,1,22.95,7.99,323.0,3.0,34.81
4,5b4aa4ead3089013507db18f,SNUFF,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,Doubleday,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,2008-06-08,2008-05-24,5,0,1,24.95,9.99,237.0,3.5,40.04
5,5b4aa4ead3089013507db190,SUNDAYS AT TIFFANY’S,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love,2008-06-08,2008-05-24,6,3,4,24.99,6.99,478.0,4.0,27.97
6,5b4aa4ead3089013507db191,PHANTOM PREY,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,Putnam,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,2008-06-08,2008-05-24,7,4,3,26.95,9.99,435.0,4.2,37.07
7,5b4aa4ead3089013507db192,SWINE NOT?,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,"Little, Brown",A Southern family tries to hide its pet pig at a New York luxury hotel.,2008-06-08,2008-05-24,8,6,2,21.99,7.99,685.0,4.4,36.33
8,5b4aa4ead3089013507db193,CARELESS IN RED,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,Harper,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",2008-06-08,2008-05-24,9,8,3,27.95,8.99,621.0,4.4,32.16
9,5b4aa4ead3089013507db194,THE WHOLE TRUTH,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,Grand Central,An intelligence agent and a journalist team up against a warmongering defense contractor.,2008-06-08,2008-05-24,10,7,5,26.99,9.99,1064.0,4.4,37.01
